# linear	RBF	ST	SST	PT	recursive	tree echo state
0.529412	0.588235	0.647059	0.647059	0.647059	0.705882	0.647059
0.875	0.75	0.6875	0.6875	0.75	0.75	0.6875
0.75	0.6875	0.5625	0.625	0.625	0.5	0.75
0.75	0.875	0.75	0.6875	0.6875	0.6875	0.75
0.6875	0.8125	0.8125	0.8125	0.8125	0.75	0.4375
0.625	0.625	0.8125	0.75	0.75	0.875	0.75
0.6875	0.6875	0.6875	0.625	0.6875	0.8125	0.625
0.75	0.75	0.9375	0.875	0.875	0.875	0.75
0.75	0.8125	0.75	0.625	0.6875	0.8125	0.8125
0.8	0.8	0.866667	0.866667	0.866667	0.866667	0.866667
