# linear	RBF	ST	SST	PT	recursive	tree echo state
0.888889	0.8	0.727273	0.818182	0.818182	0.666667	0.727273
0.857143	0.583333	0.272727	0.454545	0.5	0.666667	0.727273
1	1	0.222222	0.8	0.6	0.5	0.833333
0.833333	0.857143	0.666667	0.818182	0.909091	0.636364	0.583333
0.909091	0.692308	0.461538	0.692308	0.692308	0.833333	0.428571
0.9	0.8	0.846154	0.833333	0.75	0.714286	0.5
0.909091	0.909091	0.636364	0.7	0.545455	0.692308	0.5
0.75	0.833333	0.266667	0.5	0.5	0.571429	0.416667
0.75	0.538462	0.75	0.4	0.636364	0.846154	0.923077
0.833333	0.75	0.230769	0.538462	0.538462	0.615385	0.769231
