# linear	RBF	ST	SST	PT	recursive	tree echo state
0.666667	1.64583	1.12963	1.38889	1.38889	0.666667	0.5625
1.47619	1.20833	0.536667	1.31061	1.05556	1.22222	1.36667
2.66667	2.5	0.666667	1.6	0.458333	0.4375	1.10417
2.22222	2.75556	0.852083	0.75	2.24	1.1375	1.06019
1	1.77333	1.09861	1.355	1.355	5.1	1.45
2.04167	1.66667	1.07407	1	1.12963	1.31481	1.30303
1.33333	0.966667	0.854167	0.916667	0.952116	0.770833	1.13889
1.35208	1.15152	0.882222	1.22083	1.36786	1.55139	1.34306
1.65833	1.18048	1.0875	1.905	1.55303	1.64286	1.35714
2.70455	1.96818	0.418182	1.06212	1.06212	0.625	1.65
