# linear	RBF	ST	SST	PT	recursive	tree echo state
0.911111	0.933333	0.933333	0.933333	0.933333	0.866667	0.844444
0.866667	0.866667	0.888889	0.933333	0.911111	0.888889	0.911111
0.911111	0.977778	0.911111	0.977778	0.977778	0.955556	0.888889
0.977273	0.977273	0.977273	0.954545	0.954545	0.977273	0.886364
0.909091	0.931818	0.931818	0.954545	0.954545	0.886364	0.886364
0.909091	0.931818	0.886364	0.931818	0.931818	0.931818	0.886364
0.931818	0.977273	0.909091	0.954545	0.954545	0.909091	0.863636
0.863636	0.931818	0.909091	0.954545	0.954545	0.954545	0.863636
0.909091	0.954545	0.909091	0.886364	0.931818	0.931818	0.909091
0.976744	0.976744	0.953488	1	1	0.953488	0.837209
