# linear	RBF	ST	SST	PT	recursive	tree echo state
0.960802	1.77832	3.37803	1.69031	1.69031	2.73855	1.99566
2.84259	2.36616	2.14051	1.9	1.98389	1.45561	3.52941
5.44086	2.18288	3.03734	2.21131	2.35482	1.93656	1.28593
2.13739	7.57932	2.53364	2.27717	2.27717	1.99406	1.48605
1.31338	3.28333	2.87412	1.85641	1.85641	2.54763	2.00049
1.12472	2.59474	3.19455	3.49111	3.49111	1.74508	1.3568
3.95739	2.90162	1.68129	2.82849	2.82849	3.24213	4.15079
5.72973	2.42639	2.03433	2.81476	2.81476	3.62413	3.39558
5.47436	1.35488	2.77014	3.66159	3.10185	2.71278	4.10497
3.03571	2.2856	2.76658	2.95298	2.95298	2.32769	1.59083
